n1,n2,t
0,1,0
0,2,20
0,3,360
0,3,380
3,2,420
3,2,440
3,2,460
3,2,480
3,2,540
4,3,540
4,2,560
4,2,580
4,2,600
4,2,620
4,2,640
4,2,660
4,2,680
4,2,700
4,2,720
4,2,740
4,2,760
0,3,780
4,2,780
4,3,780
0,3,800
4,3,800
0,3,820
4,3,820
4,3,840
5,2,1660
5,2,1680
5,2,1700
6,7,2120
6,7,2200
0,2,2280
0,2,2300
0,2,2340
6,7,2440
6,7,2480
8,7,2560
6,7,2580
6,9,2760
6,7,3060
8,10,3580
8,10,3600
8,7,3620
11,12,3840
6,8,3880
6,7,3880
11,13,3940
6,7,4020
14,13,4020
13,7,4040
1,7,4040
6,7,4040
8,13,4040
14,13,4040
14,7,4040
8,1,4060
14,13,4060
8,1,4080
9,7,4100
15,1,4100
8,1,4100
14,13,4100
8,15,4120
15,7,4120
16,17,4140
8,1,4140
11,9,4140
14,13,4140
8,7,4140
15,7,4140
14,15,4160
13,15,4160
14,13,4160
15,7,4160
14,15,4180
13,7,4180
13,15,4180
6,13,4180
15,7,4180
14,7,4180
13,7,4200
9,14,4200
6,18,4200
6,1,4220
11,9,4220
18,1,4220
9,14,4240
15,1,4240
6,1,4240
11,9,4240
12,1,4260
6,1,4260
13,1,4260
11,9,4260
6,13,4260
9,14,4280
12,7,4280
11,9,4280
1,7,4280
6,7,4280
6,13,4280
11,9,4300
1,7,4300
6,1,4320
6,7,4320
6,8,4340
11,15,4340
6,1,4340
6,15,4340
6,7,4340
8,15,4340
8,7,4340
6,8,4360
6,1,4360
6,15,4360
8,15,4360
15,7,4360
14,15,4380
6,15,4380
6,7,4380
6,14,4380
15,7,4380
6,8,4400
6,15,4400
0,2,4400
6,7,4400
8,15,4400
15,7,4400
14,15,4420
6,8,4420
6,15,4420
0,2,4420
6,7,4420
6,14,4420
8,7,4420
15,7,4420
6,8,4440
0,2,4440
8,15,4440
8,7,4440
6,1,4460
0,2,4460
8,17,4460
17,1,4480
0,2,4480
6,8,4500
17,1,4500
0,2,4500
0,2,4520
0,2,4540
17,1,4560
0,2,4560
16,17,4580
0,2,4580
11,9,4600
0,2,4600
0,2,4620
9,16,4640
0,2,4640
0,2,4660
0,2,4680
0,2,4700
0,2,4720
16,15,4720
15,7,4720
0,2,4740
6,9,4760
0,2,4760
9,15,4760
0,2,4780
0,2,4800
0,2,4820
0,2,4840
0,2,4860
17,1,4880
0,2,4880
0,2,4900
0,2,4920
8,15,4920
0,2,4940
0,2,4960
17,1,4980
0,2,4980
8,7,4980
15,7,4980
0,2,5000
15,7,5000
17,1,5020
0,2,5020
17,1,5040
0,2,5040
0,2,5060
8,15,5060
0,2,5080
8,15,5080
0,2,5100
8,15,5100
0,2,5120
8,15,5120
0,2,5140
8,15,5140
11,9,5160
0,2,5160
8,15,5160
17,1,5180
0,2,5180
0,2,5200
0,2,5220
0,2,5240
15,7,5240
0,2,5260
15,7,5260
0,2,5280
6,9,5300
6,15,5300
0,2,5300
15,7,5300
0,2,5320
6,7,5320
6,14,5320
8,7,5320
15,7,5320
8,16,5340
0,2,5340
8,7,5340
15,7,5340
17,1,5360
6,15,5360
0,2,5360
16,7,5380
17,1,5380
0,2,5380
6,7,5380
17,1,5400
0,2,5400
16,7,5420
17,1,5420
14,16,5420
6,16,5420
0,2,5420
16,7,5440
0,2,5440
6,7,5440
0,2,5460
1,7,5460
8,13,5460
6,14,5460
0,2,5480
0,2,5500
1,7,5500
6,13,5500
6,14,5500
0,2,5520
1,7,5520
6,7,5520
0,2,5540
1,7,5540
0,2,5560
