n1,n2,weight,t
1,2,1.088709677,1
1,3,0.725806452,1
1,4,2.177419355,1
2,5,0.362903226,1
2,6,1.451612903,1
2,3,0.725806452,1
2,7,0.362903226,1
8,5,0.725806452,1
8,9,0.362903226,1
8,10,0.362903226,1
8,11,1.814516129,1
8,3,0.725806452,1
8,12,0.725806452,1
13,5,2.540322581,1
13,9,0.725806452,1
13,14,0.362903226,1
13,10,0.725806452,1
13,3,0.362903226,1
13,12,0.362903226,1
13,15,5.080645161,1
7,5,0.362903226,1
7,4,1.814516129,1
7,9,0.362903226,1
5,9,0.725806452,1
5,14,1.088709677,1
5,10,0.362903226,1
5,11,0.362903226,1
5,12,0.725806452,1
5,15,3.266129032,1
9,10,1.088709677,1
9,4,0.362903226,1
9,15,0.362903226,1
14,15,0.725806452,1
14,10,1.451612903,1
10,3,0.362903226,1
10,6,1.814516129,1
10,15,0.725806452,1
11,15,1.814516129,1
11,12,0.725806452,1
11,3,1.451612903,1
3,6,0.362903226,1
3,12,0.362903226,1
3,15,1.814516129,1
4,12,0.362903226,1
12,15,0.362903226,1
1,12,4.33604336,10
1,2,0.083764474,10
1,13,0.354767184,10
1,11,0.039418576,10
2,7,0.487804878,10
2,16,0.507514166,10
2,17,0.137965016,10
2,5,1.310667652,10
2,9,0.280857354,10
2,10,0.256220744,10
2,3,0.965755112,10
2,12,0.36954915,10
2,15,0.29563932,10
8,10,0.019709288,10
8,13,0.068982508,10
8,18,0.019709288,10
8,7,1.241685144,10
8,16,0.034491254,10
13,7,3.76940133,10
13,16,0.02463661,10
13,5,0.625769894,10
13,9,3.040157674,10
18,7,6.011332841,10
7,9,0.81300813,10
7,11,0.744025622,10
7,12,0.41882237,10
7,19,0.029563932,10
16,20,0.872135994,10
16,21,0.51736881,10
16,5,0.044345898,10
16,10,0.9854644,10
16,11,0.847499384,10
16,15,0.34491254,10
20,9,1.709780734,10
20,10,0.04927322,10
20,17,1.33037694,10
21,17,3.779255974,10
17,9,0.192165558,10
17,12,1.665434836,10
17,15,0.315348608,10
5,14,1.862527716,10
5,10,0.187238236,10
5,12,0.152746982,10
5,15,0.482877556,10
9,19,0.04927322,10
9,14,1.325449618,10
9,10,0.29563932,10
9,11,0.571569352,10
9,3,0.216802168,10
9,6,0.280857354,10
9,15,2.030056664,10
14,3,3.434343434,10
10,19,1.62601626,10
10,3,0.576496674,10
10,15,0.241438778,10
11,6,2.133530426,10
11,12,0.108401084,10
4,12,0.280857354,10
4,15,4.873121459,10
6,19,0.083764474,10
1,2,1.023364486,11
1,8,2.615264798,11
1,13,0.568535826,11
1,7,0.45482866,11
1,9,0.568535826,11
1,10,0.45482866,11
1,11,0.909657321,11
1,4,1.137071651,11
1,6,0.341121495,11
1,12,0.909657321,11
1,15,0.909657321,11
2,8,1.705607477,11
2,13,1.023364486,11
2,18,0.113707165,11
2,7,2.501557632,11
2,9,0.113707165,11
2,14,0.795950156,11
2,10,1.591900312,11
2,4,0.682242991,11
2,12,0.22741433,11
2,15,0.682242991,11
8,13,3.070093458,11
8,18,0.341121495,11
8,7,0.568535826,11
8,5,0.113707165,11
8,14,0.113707165,11
8,11,0.795950156,11
8,4,1.705607477,11
8,12,0.113707165,11
8,15,6.140186916,11
13,18,0.682242991,11
13,7,0.682242991,11
13,14,0.45482866,11
13,10,0.341121495,11
13,11,0.113707165,11
13,4,1.023364486,11
13,6,0.341121495,11
13,15,3.411214953,11
18,7,0.113707165,11
18,5,0.341121495,11
18,10,0.22741433,11
18,3,1.364485981,11
18,4,0.113707165,11
18,6,0.113707165,11
18,12,1.591900312,11
18,15,0.113707165,11
7,9,0.113707165,11
7,10,0.682242991,11
7,12,0.45482866,11
7,15,1.250778816,11
5,4,0.113707165,11
9,14,1.933021807,11
9,4,5.912772586,11
9,15,3.297507788,11
14,10,2.274143302,11
14,6,2.160436137,11
14,15,0.113707165,11
10,3,1.478193146,11
10,6,0.22741433,11
10,12,0.113707165,11
10,15,0.22741433,11
11,4,0.341121495,11
11,12,0.113707165,11
11,15,0.22741433,11
3,12,0.22741433,11
3,4,0.113707165,11
3,6,0.341121495,11
4,6,0.22741433,11
4,12,0.795950156,11
4,15,5.57165109,11
6,12,0.113707165,11
6,15,0.22741433,11
12,15,1.023364486,11
1,2,2.036613272,12
1,8,0.203661327,12
1,13,0.610983982,12
1,18,1.425629291,12
1,7,1.221967963,12
1,5,0.203661327,12
1,14,0.203661327,12
1,11,1.018306636,12
1,3,1.221967963,12
1,4,1.018306636,12
1,6,0.203661327,12
1,12,0.814645309,12
1,15,0.203661327,12
2,8,0.407322655,12
2,13,0.203661327,12
2,18,2.851258581,12
2,7,2.851258581,12
2,5,0.610983982,12
2,9,1.629290618,12
2,14,0.203661327,12
2,10,0.203661327,12
2,11,0.203661327,12
2,3,0.610983982,12
2,4,2.647597254,12
2,12,0.610983982,12
2,15,0.814645309,12
8,13,0.203661327,12
8,18,0.407322655,12
8,7,0.407322655,12
8,14,0.203661327,12
8,10,4.276887872,12
8,11,0.814645309,12
8,4,0.203661327,12
8,6,0.407322655,12
8,12,0.203661327,12
8,15,1.221967963,12
13,18,0.610983982,12
13,7,0.814645309,12
13,5,0.203661327,12
13,9,1.425629291,12
13,3,0.203661327,12
13,4,2.443935927,12
13,12,2.851258581,12
13,15,3.054919909,12
18,7,2.647597254,12
18,9,0.610983982,12
18,11,0.610983982,12
18,3,0.407322655,12
18,4,0.407322655,12
18,12,0.814645309,12
18,15,2.2402746,12
7,9,0.203661327,12
7,10,0.203661327,12
7,11,1.221967963,12
7,3,0.407322655,12
7,4,0.814645309,12
7,6,0.203661327,12
7,12,0.610983982,12
7,15,1.018306636,12
5,9,0.814645309,12
5,14,0.407322655,12
5,11,1.425629291,12
5,6,0.610983982,12
9,14,1.832951945,12
9,10,1.425629291,12
9,11,2.2402746,12
9,3,1.221967963,12
9,4,0.203661327,12
9,6,2.2402746,12
9,12,2.036613272,12
14,10,0.203661327,12
14,11,1.221967963,12
14,3,1.221967963,12
14,6,0.203661327,12
10,11,0.407322655,12
10,6,0.203661327,12
10,12,1.221967963,12
11,3,1.629290618,12
11,4,1.221967963,12
11,6,0.610983982,12
11,12,0.203661327,12
3,4,0.814645309,12
3,6,1.018306636,12
3,12,0.407322655,12
4,6,1.221967963,12
4,12,0.814645309,12
4,15,4.073226545,12
6,12,0.407322655,12
12,15,0.814645309,12
22,8,0.523121387,13
22,18,0.261560694,13
22,7,0.784682081,13
22,16,1.569364162,13
22,20,2.092485549,13
22,21,0.784682081,13
22,17,0.523121387,13
22,23,2.354046243,13
22,24,1.307803468,13
22,15,0.784682081,13
22,6,1.830924855,13
22,12,0.261560694,13
22,19,2.092485549,13
22,25,5.492774566,13
19,2,2.092485549,13
19,8,1.307803468,13
19,18,0.523121387,13
19,7,3.138728324,13
19,16,0.523121387,13
19,20,1.569364162,13
19,21,1.830924855,13
19,25,0.523121387,13
19,23,2.354046243,13
19,14,1.046242775,13
19,10,0.261560694,13
19,12,0.784682081,13
19,15,1.046242775,13
19,24,0.523121387,13
24,8,0.523121387,13
24,13,0.523121387,13
24,7,0.523121387,13
24,16,0.261560694,13
24,20,0.523121387,13
24,21,1.830924855,13
24,25,1.046242775,13
24,23,0.523121387,13
24,9,7.585260116,13
24,14,0.784682081,13
24,10,0.261560694,13
24,3,0.261560694,13
24,12,0.261560694,13
23,1,1.046242775,13
23,8,3.400289017,13
23,13,0.261560694,13
23,16,0.523121387,13
23,2,0.261560694,13
23,25,3.400289017,13
23,20,1.569364162,13
23,9,0.523121387,13
23,14,0.523121387,13
23,10,0.523121387,13
23,15,0.523121387,13
23,4,0.261560694,13
23,6,0.261560694,13
23,12,0.523121387,13
23,18,0.523121387,13
23,7,2.092485549,13
25,8,0.784682081,13
25,13,0.261560694,13
25,21,2.092485549,13
25,17,0.261560694,13
25,14,0.523121387,13
25,10,1.046242775,13
25,16,2.092485549,13
25,4,1.569364162,13
25,6,0.784682081,13
25,7,0.784682081,13
5,1,0.523121387,13
5,2,1.046242775,13
5,8,3.138728324,13
5,13,1.046242775,13
5,18,0.261560694,13
5,7,0.784682081,13
5,16,0.261560694,13
5,20,0.261560694,13
5,17,0.523121387,13
5,10,0.784682081,13
5,11,0.261560694,13
5,4,0.784682081,13
5,6,0.523121387,13
5,12,0.261560694,13
9,1,0.261560694,13
9,13,0.523121387,13
9,21,0.523121387,13
9,3,0.261560694,13
9,4,0.261560694,13
9,15,0.261560694,13
9,7,1.046242775,13
14,1,0.261560694,13
14,2,0.523121387,13
14,21,2.87716763,13
14,11,0.261560694,13
14,4,0.523121387,13
14,6,0.523121387,13
14,12,0.523121387,13
14,15,0.523121387,13
10,1,3.661849711,13
10,2,4.184971098,13
10,8,1.046242775,13
10,13,0.523121387,13
10,21,1.307803468,13
10,17,0.261560694,13
10,20,0.523121387,13
10,3,0.784682081,13
10,4,0.261560694,13
10,12,0.523121387,13
10,7,0.261560694,13
11,1,0.523121387,13
11,2,0.261560694,13
11,8,1.046242775,13
11,18,0.261560694,13
11,16,0.261560694,13
11,20,0.261560694,13
11,3,0.261560694,13
11,4,0.523121387,13
11,6,1.307803468,13
11,12,0.261560694,13
3,8,0.261560694,13
3,18,0.261560694,13
3,6,0.261560694,13
3,12,0.261560694,13
3,15,0.523121387,13
4,1,0.523121387,13
4,2,0.784682081,13
4,8,1.307803468,13
4,18,0.523121387,13
4,15,1.307803468,13
6,1,0.261560694,13
6,18,0.523121387,13
6,16,1.307803468,13
6,17,0.261560694,13
6,20,0.261560694,13
6,15,0.523121387,13
12,1,0.784682081,13
12,8,0.261560694,13
12,13,1.307803468,13
12,2,0.523121387,13
12,21,0.261560694,13
12,17,0.523121387,13
12,18,2.354046243,13
12,16,0.261560694,13
15,1,1.307803468,13
15,8,2.354046243,13
15,13,1.569364162,13
15,16,0.523121387,13
15,20,0.784682081,13
15,18,1.830924855,13
1,2,0.261560694,13
1,13,1.046242775,13
1,18,1.307803468,13
1,16,0.261560694,13
1,21,0.784682081,13
1,17,0.784682081,13
2,8,0.261560694,13
2,13,1.046242775,13
2,7,0.523121387,13
2,20,0.523121387,13
2,17,0.523121387,13
2,18,1.307803468,13
8,17,0.523121387,13
8,20,5.492774566,13
8,18,0.261560694,13
8,16,0.523121387,13
8,7,3.661849711,13
13,21,0.784682081,13
13,17,0.261560694,13
13,7,0.523121387,13
18,7,0.523121387,13
18,21,0.784682081,13
18,17,0.523121387,13
18,20,1.046242775,13
18,16,0.784682081,13
7,21,2.092485549,13
7,17,0.523121387,13
7,20,7.323699422,13
7,16,0.784682081,13
16,21,0.784682081,13
16,20,0.261560694,13
20,21,1.046242775,13
20,17,2.354046243,13
21,17,0.261560694,13
1,9,2.4217856,14
1,14,0.5098496,14
1,11,0.7010432,14
1,2,2.2943232,14
1,20,5.098496,14
2,8,1.4658176,14
2,13,0.0637312,14
2,18,0.3823872,14
2,20,0.1274624,14
2,5,0.2549248,14
2,9,3.6326784,14
2,14,2.4217856,14
2,10,0.3823872,14
2,11,0.7647744,14
2,12,0.1274624,14
8,18,1.2108928,14
8,20,0.2549248,14
8,5,0.1911936,14
8,14,0.3823872,14
8,11,1.274624,14
8,3,0.3823872,14
8,15,0.7010432,14
13,5,0.0637312,14
13,9,1.5295488,14
13,11,1.7207424,14
13,4,0.3823872,14
13,12,0.955968,14
18,10,1.5295488,14
18,3,0.1911936,14
18,9,0.637312,14
7,10,5.9270016,14
7,16,1.8482048,14
7,20,0.7647744,14
16,20,1.5295488,14
16,17,2.0393984,14
16,5,0.4461184,14
16,10,0.4461184,14
16,12,0.1274624,14
20,3,1.7844736,14
17,10,0.1911936,14
5,10,0.3823872,14
5,12,0.7010432,14
5,15,0.7647744,14
9,14,1.4020864,14
14,15,0.0637312,14
10,3,0.1911936,14
10,4,0.1911936,14
10,12,0.1274624,14
11,4,0.2549248,14
3,6,0.637312,14
3,15,0.2549248,14
4,6,0.5098496,14
4,12,1.1471616,14
4,15,0.318656,14
6,15,0.8922368,14
19,13,4.35674484,15
24,1,1.33025004,15
24,2,1.8651654,15
24,5,1.908803232,15
24,9,4.049872344,15
24,10,3.337590312,15
24,11,1.663164468,15
24,3,0.47157012,15
24,4,0.213966144,15
23,1,0.36599472,15
23,2,0.879795,15
23,9,1.086722784,15
23,14,0.47157012,15
23,10,2.237494644,15
23,11,0.174551328,15
